| Id   | rarityScore | Name                     | Body           | Accessory      | Background        | Hair                | Mask            | Weapon                  | Cloth                |
| 4687 | 180.71      |                          | Semi Human M5  |                | Ionic Red         | Sharp Neon          |                 | Toy Gun                 | Ironclad Suit        |
| 343  | 180.69      |                          | Blue Human M4  | Dark Lightning | Ionic Purple      | Pale Blue Gear      |                 | Wall Breaker            | Cleaning Officer     |
| 3595 | 180.68      |                          | Blue Human M3  |                | Ionic Blue        |                     | Golden Helmet   | Rifle                   | Time Traveler Suit   |
| 3029 | 180.63      |                          | Human M4       | Red Guard      | Orange            | Orange Aviator      |                 | AK47                    | Assassin Unifrom     |
| 873  | 180.54      |                          | Semi Human M4  |                | Ionic Yellow      | Rose Locks          |                 | Wall Breaker            | Surfer Jacket        |
| 3860 | 180.53      |                          | Human T1       | Sunset         | Ionic Yellow      | Braided Orange Band |                 | Beam Gun                | Punk Suit            |
| 5499 | 180.52      |                          | Blue Human M3  |                | Orange            |                     | Golden Helmet   | Sound Trap              | Farmer Jacket        |
| 2496 | 180.5       |                          | Human M4       | Red Guard      | Purple            | Green Gradient      |                 | Toy Gun                 | Robotic Suit         |
| 3829 | 180.43      |                          | Cyber Blue MT1 |                | Ionic Blue        | Rose Locks          |                 | AK47                    | Library Staff        |
| 122  | 180.36      |                          | Blue Human M2  |                | Ionic Blue        |                     | Gas Mask        | Sound Trap              | Travelers Jacket     |
| 3721 | 180.3       |                          | Semi Human M1  |                | Ionic Matte Green | Golden Mane         |                 | Grenade Launcher        | Warrior Armor        |
| 1774 | 180.28      |                          | Blue Human M2  |                | Purple            | Green Gradient      |                 | Grenade Launcher        | Army Suit            |
| 3073 | 180.27      |                          | Blue Human M2  |                | Yellow            | Braided White Band  |                 | Rifle                   | Bomb Defuser         |
| 347  | 180.22      |                          | Blue Human M1  |                | Emerald           | Brown Mess          |                 | Ion Rifle               | Army Suit            |
| 5271 | 180.16      |                          | Semi Human T1  |                | Laser Red         | Sharp Neon          |                 | Toy Gun                 | Varonve Sweater      |
| 330  | 180.11      |                          | Human T3       | Dark Lightning | Ionic Matte Green | Braided Orange Band |                 | Laser Gun               | Gunslinger Suit      |
| 5188 | 180.09      |                          | Human T2       |                | Ionic Burgundy    |                     | Nova Helmet     | Rifle                   | Punk Suit            |
| 3072 | 180.03      |                          | Blue Human M3  |                | Ionic Gray        |                     | Golden Helmet   | Pistol                  | Technician jacket    |
| 2277 | 180.02      |                          | Blue Human M3  |                | Ionic Blue        |                     | Golden Helmet   | AK47                    | Gunslinger Suit      |
| 3227 | 180.0       |                          | Human T5       | Dark Lightning | Magenta           | Braided Orange Band |                 | Sniper                  | Tech Suit            |
| 4696 | 179.96      |                          | Blue Human M1  |                | Ionic Pink        |                     | Golden Helmet   | Water Gun               | Neon Suit            |
| 1972 | 179.94      |                          | Human M4       | Sunset         | Yellow            | Braided White Band  |                 | Water Gun               | Farmer Jacket        |
| 1655 | 179.88      |                          | Human T1       |                | Ionic Pink        |                     | Red Strike Mask | Wall Breaker            | Time Traveler Suit   |
| 3557 | 179.76      |                          | Blue Human M4  |                | Ionic Yellow      | Blue Highlights     |                 | Pistol                  | Bright Suit          |
| 1688 | 179.74      |                          | Blue Human MT1 |                | Laser Green       | Pink Headband Hair  |                 | Sniper                  | Gunslinger Suit      |
| 2598 | 179.67      |                          | Human M1       | Blue Night     | Yellow            | Green Gradient      |                 | Toy Gun                 | Technician jacket    |
| 1606 | 179.67      |                          | Human T5       |                | Ionic Red         |                     | Gas Mask        | Modern Shotgun          | Bright Suit          |
| 3676 | 179.66      |                          | Human M2       |                | Dark Green        | Brown Waves         |                 | Toy Gun                 | Surfer Jacket        |
| 4787 | 179.63      |                          | Semi Human T2  |                | Orange            | Ocean Spikes        |                 | AK47                    | Varonve Sweater      |
| 5475 | 179.48      |                          | Blue Human M1  |                | Orange            | Ski Visors          |                 | Wall Breaker            | Gladiator Armor      |
| 5137 | 179.47      |                          | Semi Human M4  |                | Ionic Gray        | Scarlet Locks       |                 | Modern Shotgun          | Gladiator Armor      |
| 659  | 179.36      |                          | Human M4       |                | Ionic Pink        |                     | Golden Helmet   | Wall Breaker            | Commander Uniform    |
| 102  | 179.34      |                          | Human T5       | Sunset         | Laser Green       | Flame Hair          |                 | Soldier Rifle           | Bright Suit          |
| 1939 | 179.3       |                          | Semi Human M4  |                | Emerald           | Lime Hair           |                 | Rifle                   | Assassin Unifrom     |
| 699  | 179.28      |                          | Semi Human M5  |                | Ionic Red         | Navy Edge           |                 | Beam Gun                | Varonve Sweater      |
| 2200 | 179.24      |                          | Semi Human M1  |                | Magenta           | Sapphire Mane       |                 | Rifle                   | Bomb Defuser         |
| 1433 | 179.2       |                          | Semi Human T1  |                | Ionic Pink        | Lime Hair           |                 | Water Gun               | Bomb Defuser         |
| 4169 | 179.16      |                          | Semi Human T3  |                | Ionic Green       | Sharp Neon          |                 | Grenade Launcher        | Cleaning Officer     |
| 5028 | 179.15      |                          | Blue Human M4  | Dark Lightning | Laser Red         | Sapphire Mane       |                 | Beam Gun                | Prince Costume       |
| 4365 | 179.14      |                          | Blue Human MT1 |                | Ionic Purple      | Pink Headband Hair  |                 | Sound Trap              | Bright Suit          |
| 954  | 179.11      |                          | Blue Human M4  |                | Dark Green        | Icy Spikes          |                 | Pistol                  | Bright Suit          |
| 4772 | 179.1       |                          | Semi Human T1  |                | Laser Green       | Lavender Hair       |                 | Toy Gun                 | Commander Uniform    |
| 339  | 179.04      |                          | Semi Human T4  |                | Laser Green       | Wolverine Hair      |                 | Grenade Launcher        | Zero Arm Suit        |
| 1015 | 179.04      |                          | Blue Human M2  |                | Purple            | Brown Mess          |                 | Laser Gun               | Zero Arm Suit        |
| 822  | 179.02      |                          | Semi Human M5  |                | Magenta           | Lavender Hair       |                 | Sniper                  | Esoteric Jacket      |
| 2649 | 179.02      |                          | Human M2       |                | Ionic Purple      | Brown Waves         |                 | Beam Gun                | Bomb Defuser         |
| 1594 | 178.95      |                          | Human T2       |                | Orange            |                     | Golden Helmet   | Toy Gun                 | Space Suit           |
| 4229 | 178.93      |                          | Cyber Blue MT1 |                | Ionic Matte Green | Dark Pipes          |                 | Laser Gun               | Governor Jacket      |
| 3844 | 178.92      |                          | Blue Human M3  |                | Laser Red         | Green Aviator       |                 | Modern Shotgun          | Warrior Armor        |
| 4354 | 178.91      |                          | Human M2       |                | Ionic Green       | Brown Mess          |                 | Ion Rifle               | Majestic Suit        |
| 4799 | 178.87      |                          | Semi Human T4  |                | Ionic Yellow      | Lime Hair           |                 | Grenade Launcher        | Time Traveler Suit   |
| 3770 | 178.86      |                          | Blue Human M4  |                | Yellow            | Icy Spikes          |                 | Sniper                  | Commander Uniform    |
| 5342 | 178.78      |                          | Blue Human MT1 |                | Dark Green        | Brown Waves         |                 | Soldier Rifle           | Space Suit           |
| 3591 | 178.76      |                          | Human M0       | Red Guard      | Dark Green        | Blue Aviator        |                 | AK47                    | Airman Jacket        |
| 4512 | 178.75      |                          | Semi Human T2  |                | Orange            | Sapphire Mane       |                 | Sniper                  | Space Suit           |
| 1635 | 178.73      |                          | Human M4       | Sunset         | Ionic Green       | Dark Waves          |                 | Soldier Rifle           | Air Support Suit     |
| 273  | 178.68      |                          | Human M4       | Red Guard      | Laser Red         | Flame Hair          |                 | Sound Trap              | Library Staff        |
| 3367 | 178.66      |                          | Human M1       |                | Laser Red         |                     | Nova Helmet     | Water Gun               | Tech Suit            |
| 507  | 178.64      |                          | Human T2       | Red Guard      | Laser Blue        | Braided White Band  |                 | Pistol                  | Zero Arm Suit        |
| 4705 | 178.63      |                          | Human T4       | Dark Lightning | Laser Red         | Metal Implant       |                 | Sound Trap              | Farmer Jacket        |
| 1203 | 178.58      |                          | Blue Human M4  |                | Ionic Pink        |                     | Golden Helmet   | Finisher                | Library Staff        |
| 4937 | 178.58      |                          | Blue Human M1  |                | Ionic Gray        |                     | Gas Mask        | Ion Rifle               | Robotic Suit         |
| 2852 | 178.56      |                          | Semi Human M5  |                | Laser Blue        | Dark Pipes          |                 | Ion Rifle               | Bomb Defuser         |
| 4239 | 178.54      |                          | Blue Human M1  |                | Ionic Brown       | Flame Hair          |                 | Toy Gun                 | Bomb Defuser         |
| 5546 | 178.5       |                          | Human T1       | Dark Lightning | Ionic Pink        | Flame Hair          |                 | Rifle                   | Library Staff        |
| 5336 | 178.44      |                          | Human T1       | Blue Night     | Ionic Purple      | Green Headband Hair |                 | Sniper                  | Farmer Jacket        |
| 553  | 178.44      |                          | Blue Human M4  |                | Laser Blue        | Brown Waves         |                 | Sound Trap              | Cleaning Officer     |
| 3152 | 178.41      |                          | Semi Human T2  |                | Laser Red         | Wolverine Hair      |                 | Pistol                  | Varonve Sweater      |
| 3379 | 178.4       |                          | Human M1       |                | Ionic Gray        |                     | Red Strike Mask | Sound Trap              | Library Staff        |
| 3710 | 178.34      |                          | Human T3       | Blue Night     | Ionic Gray        | Flame Hair          |                 | Soldier Rifle           | Modern Cape          |
| 986  | 178.33      |                          | Semi Human T4  |                | Emerald           | Rose Locks          |                 | Grenade Launcher        | Medical Uniform      |
| 2576 | 178.33      |                          | Semi Human M4  |                | Purple            | Ocean Spikes        |                 | Laser Gun               | Varonve Sweater      |
| 163  | 178.32      |                          | Blue Human M1  |                | Dark Green        |                     | Gas Mask        | Laser Gun               | Base Guard           |
| 204  | 178.3       |                          | Human T5       | Dark Lightning | Ionic Yellow      | Braided White Band  |                 | Sniper                  | Medical Uniform      |
| 5269 | 178.22      |                          | Semi Human T1  |                | Ionic Yellow      | Sapphire Mane       |                 | Modern Shotgun          | Space Suit           |
| 3002 | 178.19      |                          | Semi Human M1  |                | Ionic Yellow      | Golden Mane         |                 | Rifle                   | Varonve Sweater      |
| 3893 | 178.16      |                          | Semi Human T4  |                | Yellow            | Dark Pipes          |                 | Grenade Launcher        | Warrior Armor        |
| 110  | 178.14      |                          | Blue Human M1  |                | Ionic Burgundy    | Green Aviator       |                 | Ion Rifle               | Gunslinger Suit      |
| 4858 | 178.13      |                          | Human T4       | Blue Night     | Laser Green       | Icy Spikes          |                 | AK47                    | Camouflage Suit      |
| 4641 | 178.13      |                          | Semi Human M4  |                | Dark Green        | Rose Locks          |                 | Sniper                  | Surfer Jacket        |
| 495  | 178.1       |                          | Human M4       | Blue Night     | Magenta           | Green Gradient      |                 | Sniper                  | Neon Suit            |
| 4988 | 178.1       |                          | Human T1       |                | Ionic Green       |                     | Gas Mask        | Grenade Launcher        | Governor Jacket      |
| 3172 | 178.1       |                          | Blue Human M1  |                | Laser Red         |                     | Gas Mask        | Soldier Rifle           | President Protection |
| 4909 | 178.06      |                          | Semi Human T2  |                | Laser Blue        | Ocean Spikes        |                 | Modern Shotgun          | Worker Jacket        |
| 2234 | 178.06      |                          | Cyber Blue  M1 |                | Laser Green       | Grey Mane           |                 | Soldier Rifle           | Cleaning Officer     |
| 396  | 178.04      |                          | Human T3       |                | Ionic Purple      |                     | Nova Helmet     | Rifle                   | Camouflage Suit      |
| 3327 | 178.0       |                          | Human T3       |                | Ionic Gray        |                     | Nova Helmet     | Water Gun               | Gladiator Armor      |
| 5030 | 177.93      |                          | Blue Human M1  |                | Laser Red         | Dark Waves          |                 | Toy Gun                 | Ironclad Suit        |
| 5157 | 177.92      |                          | Blue Human M1  |                | Laser Green       | Pink Headband Hair  |                 | Pistol                  | Medical Uniform      |
| 2008 | 177.92      |                          | Semi Human M4  |                | Ionic Green       | Sapphire Mane       |                 | Modern Shotgun          | Punk Suit            |
| 550  | 177.92      |                          | Semi Human T2  |                | Laser Green       | Golden Mane         |                 | Toy Gun                 | Ironclad Suit        |
| 5321 | 177.9       |                          | Blue Human M2  |                | Laser Red         |                     | Gas Mask        | Pistol                  | Medical Uniform      |
| 916  | 177.89      |                          | Human T1       | Blue Night     | Emerald           | Green Gradient      |                 | Toy Gun                 | Camouflage Suit      |
| 1952 | 177.87      |                          | Human T3       |                | Emerald           |                     | Nova Helmet     | Toy Gun                 | Punk Suit            |
| 3678 | 177.83      |                          | Human M0       | Sunset         | Ionic Yellow      | Green Gradient      |                 | Water Gun               | Neon Suit            |
| 3563 | 177.8       |                          | Human T3       |                | Ionic Yellow      |                     | Gas Mask        | Beam Gun                | Bomb Defuser         |
| 874  | 177.77      |                          | Human T4       |                | Magenta           | Pink Headband Hair  |                 | Modern Shotgun          | Travelers Jacket     |
| 5330 | 177.74      |                          | Semi Human M4  |                | Ionic Gray        | Lime Hair           |                 | Ion Rifle               | Travelers Jacket     |
| 1337 | 177.74      |                          | Blue Human M1  |                | Ionic Purple      | Green Headband Hair |                 | Sniper                  | Prince Costume       |
| 4635 | 177.73      |                          | Human T1       |                | Ionic Pink        |                     | Golden Helmet   | Sniper                  | Prince Costume       |
| 795  | 177.73      |                          | Semi Human M1  |                | Purple            | Sapphire Mane       |                 | Modern Shotgun          | Varonve Sweater      |
| 3058 | 177.73      |                          | Human T5       |                | Orange            |                     | Golden Helmet   | Modern Shotgun          | Medical Uniform      |
| 1377 | 177.72      |                          | Semi Human T2  |                | Ionic Purple      | Wolverine Hair      |                 | Water Gun               | Prince Costume       |
| 3687 | 177.72      |                          | Blue Human M2  |                | Ionic Green       | Ski Visors          |                 | Wall Breaker            | Commander Uniform    |
| 3582 | 177.71      |                          | Human T2       | Blue Night     | Ionic Blue        | Rose Gear           |                 | Rifle                   | Farmer Jacket        |
| 1809 | 177.61      |                          | Semi Human T2  |                | Ionic Brown       | Lavender Hair       |                 | Ion Rifle               | Army Suit            |
| 3480 | 177.58      |                          | Semi Human M2  |                | Ionic Pink        | Dark Pipes          |                 | Grenade Launcher        | Governor Jacket      |
| 3275 | 177.56      |                          | Semi Human T1  |                | Ionic Pink        | Ocean Spikes        |                 | Water Gun               | Surfer Jacket        |
| 4757 | 177.5       |                          | Human M3       |                | Laser Red         |                     | Nova Helmet     | Sound Trap              | Modern Cape          |
| 680  | 177.46      |                          | Blue Human MT1 |                | Ionic Brown       | Green Headband Hair |                 | Ion Rifle               | Prince Costume       |
| 4177 | 177.45      |                          | Semi Human M2  |                | Ionic Red         | Shadow Bun          |                 | Modern Shotgun          | Tech Suit            |
| 647  | 177.35      |                          | Human M1       |                | Laser Blue        |                     | Gas Mask        | Modern Shotgun          | Bright Suit          |
| 3154 | 177.34      |                          | Human T3       |                | Dark Green        |                     | Nova Helmet     | Toy Gun                 | Technician jacket    |
| 3328 | 177.34      |                          | Blue Human M2  |                | Ionic Green       |                     | Gas Mask        | Sniper                  | Technician jacket    |
| 3244 | 177.34      |                          | Semi Human M4  |                | Ionic Red         | Wolverine Hair      |                 | Rifle                   | President Protection |
| 681  | 177.3       |                          | Human M0       |                | Dark Green        |                     | Nova Helmet     | Modern Shotgun          | Airman Jacket        |
| 2991 | 177.26      |                          | Human T1       | Red Guard      | Orange            | Rose Gear           |                 | Soldier Rifle           | President Protection |
| 1779 | 177.24      |                          | Semi Human T1  |                | Purple            | Scarlet Locks       |                 | Modern Shotgun          | Respectable Jacket   |
| 4120 | 177.22      |                          | Semi Human M4  |                | Ionic Brown       | Sapphire Mane       |                 | Finisher                | Surfer Jacket        |
| 4453 | 177.18      |                          | Human T5       |                | Laser Red         |                     | Gas Mask        | Ion Rifle               | Majestic Suit        |
| 2762 | 177.18      |                          | Human T5       |                | Laser Red         | Brown Waves         |                 | Sniper                  | Ironclad Suit        |
| 1742 | 177.15      |                          | Semi Human M5  |                | Ionic Purple      | Silver Streak       |                 | Modern Shotgun          | Assassin Unifrom     |
| 2859 | 177.14      |                          | Human M4       |                | Ionic Matte Green |                     | Golden Helmet   | Sound Trap              | Varonve Sweater      |
| 5376 | 177.11      |                          | Blue Human M3  |                | Ionic Blue        | Metal Implant       |                 | Modern Shotgun          | Punk Suit            |
| 3633 | 177.09      |                          | Human M3       | Dark Lightning | Ionic Yellow      | Pale Blue Gear      |                 | Ion Rifle               | Majestic Suit        |
| 4668 | 177.07      |                          | Blue Human M1  |                | Purple            | Blue Highlights     |                 | Ion Rifle               | Travelers Jacket     |
| 468  | 177.05      |                          | Human M3       |                | Ionic Red         |                     | Golden Helmet   | Sniper                  | Travelers Jacket     |
| 3131 | 177.01      |                          | Blue Human MT1 |                | Ionic Blue        |                     | Golden Helmet   | Finisher                | Worker Jacket        |
| 2972 | 176.96      |                          | Human T3       |                | Ionic Purple      |                     | Golden Helmet   | Beam Gun                | Surfer Jacket        |
| 4637 | 176.95      |                          | Human T1       | Sunset         | Ionic Pink        | Dark Waves          |                 | Beam Gun                | Library Staff        |
| 2307 | 176.95      |                          | Semi Human M2  |                | Ionic Pink        | Rose Locks          |                 | Wall Breaker            | Varonve Sweater      |
| 5222 | 176.92      |                          | Semi Human M1  |                | Ionic Matte Green | Grey Mane           |                 | Grenade Launcher        | Cleaning Officer     |
| 4930 | 176.91      |                          | Semi Human T2  |                | Ionic Matte Green | Wolverine Hair      |                 | Water Gun               | Varonve Sweater      |
| 306  | 176.86      |                          | Blue Human M3  |                | Ionic Purple      | Braided Orange Band |                 | Rifle                   | Surfer Jacket        |
| 4498 | 176.77      |                          | Human M2       |                | Orange            | Brown Waves         |                 | Water Gun               | Punk Suit            |
| 654  | 176.74      |                          | Cyber Blue  M1 |                | Laser Green       | Grey Mane           |                 | Soldier Rifle           | Airman Jacket        |
| 827  | 176.73      |                          | Semi Human T2  |                | Ionic Blue        | Mystic Mane         |                 | Soldier Rifle           | Assassin Unifrom     |
| 1949 | 176.72      |                          | Human M2       |                | Ionic Burgundy    | Brown Mess          |                 | Ion Rifle               | Space Suit           |
| 1569 | 176.7       |                          | Semi Human M4  |                | Ionic Pink        | Lavender Hair       |                 | Soldier Rifle           | Space Suit           |
| 3198 | 176.67      |                          | Semi Human T1  |                | Ionic Red         | Mystic Mane         |                 | Finisher                | Travelers Jacket     |
| 5176 | 176.66      |                          | Blue Human M4  |                | Ionic Pink        | Ski Visors          |                 | Toy Gun                 | Gladiator Armor      |
| 1331 | 176.64      |                          | Human M0       | Blue Night     | Ionic Brown       | Green Gradient      |                 | Finisher                | Camouflage Suit      |
| 2795 | 176.63      |                          | Semi Human M4  |                | Ionic Burgundy    | Dark Pipes          |                 | Wall Breaker            | Bright Suit          |
| 4885 | 176.54      |                          | Semi Human M5  |                | Ionic Yellow      | Grey Mane           |                 | Toy Gun                 | Varonve Sweater      |
| 1196 | 176.45      |                          | Blue Human M2  | Blue Night     | Dark Green        | Lavender Hair       |                 | Sniper                  | Punk Suit            |
| 4541 | 176.43      |                          | Semi Human T2  |                | Emerald           | Navy Edge           |                 | Laser Gun               | Majestic Suit        |
| 890  | 176.41      |                          | Human T2       | Sunset         | Ionic Blue        | Braided White Band  |                 | Finisher                | Medical Uniform      |
| 2636 | 176.4       |                          | Blue Human M4  |                | Ionic Gray        | Pink Headband Hair  |                 | Soldier Rifle           | Neon Suit            |
| 3007 | 176.39      |                          | Human M0       | Sunset         | Yellow            | Braided White Band  |                 | Pistol                  | Farmer Jacket        |
| 936  | 176.38      |                          | Blue Human MT1 |                | Ionic Purple      | Brown Mess          |                 | Beam Gun                | Warrior Armor        |
| 3397 | 176.37      |                          | Human T5       | Red Guard      | Ionic Red         | Orange Aviator      |                 | Finisher                | Worker Jacket        |
| 5280 | 176.34      |                          | Human M3       |                | Ionic Burgundy    | Brown Mess          |                 | Rifle                   | Gladiator Armor      |
| 4430 | 176.33      |                          | Human T1       |                | Laser Red         | Pink Headband Hair  |                 | Finisher                | Varonve Sweater      |
| 2077 | 176.31      |                          | Blue Human M4  |                | Ionic Burgundy    |                     | Gas Mask        | Soldier Rifle           | Air Support Suit     |
| 3054 | 176.3       |                          | Blue Human M2  |                | Ionic Red         | Dark Waves          |                 | Wall Breaker            | Tech Suit            |
| 648  | 176.25      |                          | Semi Human M1  |                | Ionic Burgundy    | Sapphire Mane       |                 | Modern Shotgun          | Commander Uniform    |
| 1131 | 176.21      |                          | Semi Human M2  |                | Emerald           | Golden Mane         |                 | Toy Gun                 | Prince Costume       |
| 1439 | 176.18      |                          | Blue Human MT1 |                | Ionic Red         | Blue Highlights     |                 | Ion Rifle               | Gardener Apron       |
| 278  | 176.17      |                          | Semi Human M5  |                | Ionic Green       | Grey Mane           |                 | Rifle                   | Surfer Jacket        |
| 715  | 176.15      |                          | Blue Human M1  |                | Ionic Brown       | Braided Orange Band |                 | Finisher                | Bomb Defuser         |
| 4828 | 176.12      |                          | Semi Human M4  |                | Ionic Brown       | Sapphire Mane       |                 | Rifle                   | Base Guard           |
| 2549 | 176.07      |                          | Semi Human M4  |                | Ionic Green       | Wolverine Hair      |                 | Modern Shotgun          | Punk Suit            |
| 27   | 176.05      |                          | Human M3       | Dark Lightning | Orange            | Pale Blue Gear      |                 | Water Gun               | Assassin Unifrom     |
| 3464 | 176.04      |                          | Semi Human M1  |                | Ionic Gray        | Ocean Spikes        |                 | Sound Trap              | Bomb Defuser         |
| 3039 | 176.04      |                          | Blue Human M3  |                | Emerald           | Pink Headband Hair  |                 | Finisher                | Farmer Jacket        |
| 4045 | 176.03      |                          | Semi Human T1  |                | Ionic Purple      | Sharp Neon          |                 | Pistol                  | Varonve Sweater      |
| 1950 | 175.99      |                          | Semi Human M4  |                | Orange            | Grey Mane           |                 | Modern Shotgun          | Air Support Suit     |
| 285  | 175.98      |                          | Human T2       |                | Laser Blue        |                     | Nova Helmet     | Ion Rifle               | Technician jacket    |
| 2550 | 175.97      |                          | Blue Human M2  |                | Ionic Matte Green | Icy Spikes          |                 | Modern Shotgun          | Robotic Suit         |
| 2020 | 175.94      |                          | Human T3       |                | Ionic Brown       | Brown Mess          |                 | Rifle                   | Base Guard           |
| 3298 | 175.93      |                          | Blue Human MT1 |                | Ionic Matte Green |                     | Golden Helmet   | Sniper                  | Army Suit            |
| 2750 | 175.92      |                          | Blue Human M3  | Blue Night     | Ionic Burgundy    | Shadow Bun          |                 | Wall Breaker            | Ironclad Suit        |
| 2632 | 175.92      |                          | Semi Human T2  |                | Emerald           | Golden Mane         |                 | Ion Rifle               | Modern Cape          |
| 3698 | 175.9       |                          | Blue Human M1  |                | Ionic Green       | Blue Highlights     |                 | Ion Rifle               | Gardener Apron       |
| 5291 | 175.9       |                          | Semi Human M1  |                | Yellow            | Lavender Hair       |                 | Beam Gun                | Modern Cape          |
| 5416 | 175.88      |                          | Human T4       | Blue Night     | Ionic Purple      | Rose Gear           |                 | Toy Gun                 | Base Guard           |
| 5239 | 175.87      |                          | Blue Human M2  |                | Purple            | Dark Waves          |                 | Rifle                   | Assassin Unifrom     |
| 1528 | 175.81      |                          | Human M2       |                | Laser Blue        | Pink Headband Hair  |                 | Toy Gun                 | Assassin Unifrom     |
| 4469 | 175.77      |                          | Semi Human M4  |                | Laser Green       | Lime Hair           |                 | Laser Gun               | Commander Uniform    |
| 2154 | 175.76      |                          | Semi Human T2  |                | Ionic Green       | Sapphire Mane       |                 | Pistol                  | Bright Suit          |
| 2965 | 175.75      |                          | Semi Human M5  |                | Ionic Pink        | Aqua Edge           |                 | Sound Trap              | Prince Costume       |
| 2839 | 175.74      |                          | Semi Human T1  |                | Ionic Burgundy    | Aqua Edge           |                 | Water Gun               | Surfer Jacket        |
| 3953 | 175.73      |                          | Semi Human M4  |                | Ionic Green       | Shadow Bun          |                 | Sound Trap              | Surfer Jacket        |
| 2159 | 175.73      |                          | Human T2       |                | Ionic Yellow      | Brown Waves         |                 | Sniper                  | Assassin Unifrom     |
| 4778 | 175.7       |                          | Blue Human M2  |                | Ionic Burgundy    | Orange Aviator      |                 | Modern Shotgun          | Majestic Suit        |
| 1712 | 175.69      |                          | Human M4       | Red Guard      | Laser Red         |                     | Red Strike Mask |                         | Ironclad Suit        |
| 2666 | 175.67      |                          | Human M0       |                | Yellow            |                     | Nova Helmet     | Toy Gun                 | Robotic Suit         |
| 442  | 175.6       |                          | Human T4       |                | Dark Green        |                     | Nova Helmet     | Soldier Rifle           | Space Suit           |
| 1108 | 175.56      |                          | Blue Human MT1 |                | Ionic Burgundy    | Icy Spikes          |                 | Toy Gun                 | Assassin Unifrom     |
| 4065 | 175.56      |                          | Semi Human M2  |                | Ionic Purple      | Shadow Bun          |                 | Finisher                | Bomb Defuser         |
| 2617 | 175.55      |                          | Human T4       |                | Yellow            |                     | Golden Helmet   | Modern Shotgun          | Robotic Suit         |
| 2306 | 175.53      |                          | Blue Human M4  |                | Yellow            | Metal Implant       |                 | Modern Shotgun          | Medical Uniform      |
| 2225 | 175.52      |                          | Blue Human M3  |                | Laser Blue        | Icy Spikes          |                 | Beam Gun                | Modern Cape          |
| 2084 | 175.5       |                          | Semi Human T2  |                | Orange            | Dark Pipes          |                 | Modern Shotgun          | Library Staff        |
| 4595 | 175.48      |                          | Blue Human M3  | Dark Lightning | Yellow            | Lime Hair           |                 | Toy Gun                 | Travelers Jacket     |
| 3717 | 175.47      |                          | Blue Human M2  |                | Ionic Red         | Dark Waves          |                 | Sound Trap              | Ironclad Suit        |
| 3061 | 175.43      |                          | Blue Human M2  |                | Emerald           | Dark Waves          |                 | Wall Breaker            | Travelers Jacket     |
| 2016 | 175.43      |                          | Human M4       |                | Ionic Blue        |                     | Nova Helmet     | Sniper                  | Library Staff        |
| 3337 | 175.4       |                          | Blue Human M3  |                | Ionic Pink        | Green Aviator       |                 | Rifle                   | Cleaning Officer     |
| 4511 | 175.28      |                          | Semi Human T4  |                | Ionic Green       | Grey Mane           |                 | Grenade Launcher        | Army Suit            |
| 3827 | 175.2       |                          | Semi Human M5  |                | Laser Blue        | Scarlet Locks       |                 | Modern Shotgun          | Warrior Armor        |
| 1234 | 175.2       |                          | Human T4       |                | Ionic Purple      |                     | Golden Helmet   | Modern Shotgun          | Zero Arm Suit        |
| 365  | 175.14      |                          | Human M4       |                | Magenta           | Green Aviator       |                 | Wall Breaker            | Varonve Sweater      |
| 993  | 175.14      |                          | Human T5       |                | Purple            | Brown Mess          |                 | Toy Gun                 | Respectable Jacket   |
| 5347 | 175.12      |                          | Semi Human M4  |                | Ionic Purple      | Rose Locks          |                 | Finisher                | Surfer Jacket        |
| 505  | 175.11      |                          | Blue Human M3  | Blue Night     | Ionic Yellow      | Wolverine Hair      |                 | Ion Rifle               | Surfer Jacket        |
| 4602 | 175.07      |                          | Semi Human T2  |                | Orange            | Dark Pipes          |                 | Sound Trap              | Commander Uniform    |
| 3672 | 175.05      |                          | Human M2       |                | Orange            |                     | Gas Mask        | Rifle                   | Air Support Suit     |
| 4094 | 175.05      |                          | Semi Human T1  |                | Yellow            | Sharp Neon          |                 | Beam Gun                | Bright Suit          |
| 2946 | 175.04      |                          | Human M0       | Sunset         | Ionic Blue        | Flame Hair          |                 | Water Gun               | Time Traveler Suit   |
| 2530 | 175.02      |                          | Blue Human M3  |                | Laser Green       | Dark Waves          |                 | Rifle                   | Gladiator Armor      |
| 5319 | 175.02      |                          | Semi Human M2  |                | Orange            | Aqua Edge           |                 | Rifle                   | Base Guard           |
| 5548 | 174.99      |                          | Blue Human M2  |                | Ionic Red         | Green Aviator       |                 | Sniper                  | Neon Suit            |
| 2331 | 174.99      |                          | Semi Human M1  |                | Ionic Green       | Navy Edge           |                 | Wall Breaker            | Surfer Jacket        |
| 1491 | 174.96      |                          | Semi Human M5  |                | Dark Green        | Golden Mane         |                 | Modern Shotgun          | Medical Uniform      |
| 712  | 174.96      |                          | Semi Human T1  |                | Emerald           | Rose Locks          |                 | Sniper                  | Prince Costume       |
| 1443 | 174.93      |                          | Semi Human T1  |                | Ionic Burgundy    | Lavender Hair       |                 | Wall Breaker            | Neon Suit            |
| 2070 | 174.91      |                          | Semi Human M4  |                | Ionic Red         | Ocean Spikes        |                 | Sniper                  | Farmer Jacket        |
| 391  | 174.9       |                          | Semi Human T4  |                | Orange            | Aqua Edge           |                 | Rifle                   | Modern Cape          |
